k,Average_Sensitivity,Average_Specificity,Average_Precision,Average_Recall,Average_F1
1,0.0971 (0.0003),0.995 (0.000447),0.9557 (0.004451),0.9875 (0.002729),0.9713 (0.016428)
2,0.0961 (0.0003),0.9976 (0.00049),0.9776 (0.002577),0.9775 (0.004006),0.9773 (0.004011)
3,0.097 (0.0),0.9953 (0.000458),0.9588 (0.002786),0.9869 (0.0013),0.9726 (0.014359)
4,0.0966 (0.00049),0.9971 (0.0003),0.9722 (0.002786),0.9821 (0.002982),0.9771 (0.005822)
5,0.0971 (0.0003),0.9953 (0.000458),0.9592 (0.004308),0.986 (0.002049),0.9723 (0.013852)
10,0.0966 (0.00049),0.9964 (0.00049),0.9676 (0.004005),0.9805 (0.002579),0.9737 (0.007273)
15,0.0968 (0.0004),0.9955 (0.0005),0.9584 (0.003353),0.9804 (0.003137),0.9692 (0.011631)
20,0.096 (0.000447),0.9959 (0.000539),0.9634 (0.003382),0.973 (0.004919),0.9679 (0.007086)
30,0.0954 (0.00049),0.9961 (0.0003),0.9636 (0.002905),0.9676 (0.003382),0.9654 (0.004035)
40,0.0949 (0.0003),0.9959 (0.000539),0.962 (0.003924),0.9619 (0.003646),0.9618 (0.003647)
50,0.0945 (0.0005),0.9958 (0.0006),0.9619 (0.003833),0.9558 (0.003655),0.9585 (0.004544)
