k,Average_Sensitivity,Average_Specificity,Average_Precision,Average_Recall,Average_F1
1,0.0952 (0.000748),0.9885 (0.000806),0.9008 (0.005582),0.9275 (0.00727),0.9139 (0.015421)
2,0.0889 (0.001136),0.9953 (0.000781),0.9532 (0.007427),0.8636 (0.010828),0.906 (0.043761)
3,0.095 (0.000447),0.9904 (0.001114),0.9142 (0.006969),0.9269 (0.004253),0.9204 (0.007768)
4,0.0919 (0.000831),0.9942 (0.0006),0.9451 (0.004989),0.8956 (0.007552),0.9198 (0.025351)
5,0.0949 (0.0007),0.9902 (0.000748),0.9141 (0.005682),0.9255 (0.00706),0.9195 (0.009266)
10,0.0929 (0.000539),0.9923 (0.000781),0.9299 (0.005522),0.9059 (0.00661),0.9177 (0.013525)
15,0.094 (0.000632),0.9896 (0.00102),0.9083 (0.007537),0.9152 (0.006369),0.9115 (0.007365)
20,0.0924 (0.000917),0.9905 (0.001285),0.9137 (0.010517),0.8991 (0.007368),0.9062 (0.010232)
30,0.0918 (0.000872),0.9899 (0.0013),0.9078 (0.009152),0.8898 (0.008704),0.8987 (0.012449)
40,0.0908 (0.000748),0.9892 (0.001249),0.9034 (0.009243),0.8807 (0.008149),0.8917 (0.01369)
50,0.0899 (0.001044),0.9891 (0.001375),0.8993 (0.008787),0.8706 (0.010385),0.8846 (0.017431)
